timestamp,carbon_intensity_gco2_per_kwh
2026-01-12 23:00:00+00:00,381.17841713450315
2026-01-13 00:00:00+00:00,372.1759225503371
2026-01-13 01:00:00+00:00,431.5044505212831
2026-01-13 02:00:00+00:00,441.01960869361
2026-01-13 03:00:00+00:00,473.22838973716205
2026-01-13 04:00:00+00:00,476.5090767398754
2026-01-13 05:00:00+00:00,441.1780084200992
2026-01-13 06:00:00+00:00,455.537444143753
2026-01-13 07:00:00+00:00,445.10284054074975
2026-01-13 08:00:00+00:00,475.4900360933026
2026-01-13 09:00:00+00:00,487.33672219727583
2026-01-13 10:00:00+00:00,472.23743469544326
2026-01-13 11:00:00+00:00,495.3643122411581
2026-01-13 12:00:00+00:00,483.61049354277515
2026-01-13 13:00:00+00:00,500.34221814909733
2026-01-13 14:00:00+00:00,474.8848515406872
2026-01-13 15:00:00+00:00,493.4840421623017
2026-01-13 16:00:00+00:00,494.91499583493646
2026-01-13 17:00:00+00:00,500.00383934382614
2026-01-13 18:00:00+00:00,495.45716970722907
2026-01-13 19:00:00+00:00,502.80030210303886
2026-01-13 20:00:00+00:00,500.8449801520397
2026-01-13 21:00:00+00:00,481.7392791228148
2026-01-13 22:00:00+00:00,477.4818302961212
2026-01-13 23:00:00+00:00,496.59252554712765
2026-01-14 00:00:00+00:00,467.5325612660083
2026-01-14 01:00:00+00:00,502.92642941664343
2026-01-14 02:00:00+00:00,513.6083324881785
2026-01-14 03:00:00+00:00,492.51244416993666
2026-01-14 04:00:00+00:00,456.69247981822156
2026-01-14 05:00:00+00:00,518.2341883837365
2026-01-14 06:00:00+00:00,480.8988682201446
2026-01-14 07:00:00+00:00,449.03053409650374
2026-01-14 08:00:00+00:00,433.13085357073
2026-01-14 09:00:00+00:00,440.345708252379
2026-01-14 10:00:00+00:00,427.42917770397435
2026-01-14 11:00:00+00:00,458.317090669106
2026-01-14 12:00:00+00:00,425.69505829213165
2026-01-14 13:00:00+00:00,469.57388153777737
2026-01-14 14:00:00+00:00,408.2264278077707
2026-01-14 15:00:00+00:00,426.1395426494366
2026-01-14 16:00:00+00:00,403.24128429588853
2026-01-14 17:00:00+00:00,429.1560937062419
2026-01-14 18:00:00+00:00,385.27526553282644
2026-01-14 19:00:00+00:00,414.3740307919144
2026-01-14 20:00:00+00:00,377.8516483917732
2026-01-14 21:00:00+00:00,366.0934789307539
2026-01-14 22:00:00+00:00,341.13337802792194
2026-01-14 23:00:00+00:00,366.1727603344898
2026-01-15 00:00:00+00:00,364.0219922706886
2026-01-15 01:00:00+00:00,335.73636805645685
2026-01-15 02:00:00+00:00,333.93346082082417
2026-01-15 03:00:00+00:00,337.93173209871026
2026-01-15 04:00:00+00:00,333.38903039375737
2026-01-15 05:00:00+00:00,326.6555925938237
