timestamp,demand_mw
2026-01-12 23:00:00+00:00,40764.23029729266
2026-01-13 00:00:00+00:00,41710.46483022065
2026-01-13 01:00:00+00:00,41318.59761896781
2026-01-13 02:00:00+00:00,41777.34612029182
2026-01-13 03:00:00+00:00,42126.98133486738
2026-01-13 04:00:00+00:00,42542.46330705116
2026-01-13 05:00:00+00:00,41931.654765097206
2026-01-13 06:00:00+00:00,42976.971514724544
2026-01-13 07:00:00+00:00,42196.585395225025
2026-01-13 08:00:00+00:00,43381.90135496745
2026-01-13 09:00:00+00:00,42855.709185926295
2026-01-13 10:00:00+00:00,42827.6337675326
2026-01-13 11:00:00+00:00,44082.12688131499
2026-01-13 12:00:00+00:00,44151.83672767686
2026-01-13 13:00:00+00:00,43559.15165781097
2026-01-13 14:00:00+00:00,44351.1646717875
2026-01-13 15:00:00+00:00,44286.958712981
2026-01-13 16:00:00+00:00,44736.57994145792
2026-01-13 17:00:00+00:00,44535.88412827572
2026-01-13 18:00:00+00:00,44583.07396275399
2026-01-13 19:00:00+00:00,44613.56436866604
2026-01-13 20:00:00+00:00,44887.79479275613
2026-01-13 21:00:00+00:00,45414.273343756
2026-01-13 22:00:00+00:00,45744.28073119659
2026-01-13 23:00:00+00:00,45282.05810086056
2026-01-14 00:00:00+00:00,45114.13647314462
2026-01-14 01:00:00+00:00,45593.31190023149
2026-01-14 02:00:00+00:00,45795.95300408742
2026-01-14 03:00:00+00:00,46559.20987827934
2026-01-14 04:00:00+00:00,46184.72602276562
2026-01-14 05:00:00+00:00,46719.33681544195
2026-01-14 06:00:00+00:00,46631.790598443855
2026-01-14 07:00:00+00:00,46170.596096219575
2026-01-14 08:00:00+00:00,46930.27799975497
2026-01-14 09:00:00+00:00,46812.440784590195
2026-01-14 10:00:00+00:00,46820.8743937534
2026-01-14 11:00:00+00:00,46861.60091756307
2026-01-14 12:00:00+00:00,47369.67386741936
2026-01-14 13:00:00+00:00,47153.62543288175
2026-01-14 14:00:00+00:00,46747.79484242435
2026-01-14 15:00:00+00:00,46603.56514422506
2026-01-14 16:00:00+00:00,47266.49465966785
2026-01-14 17:00:00+00:00,46803.779630770616
2026-01-14 18:00:00+00:00,46732.83678168473
2026-01-14 19:00:00+00:00,46768.44673718957
2026-01-14 20:00:00+00:00,46746.493429140995
2026-01-14 21:00:00+00:00,47215.707185821775
2026-01-14 22:00:00+00:00,46387.81244357921
2026-01-14 23:00:00+00:00,46703.76877964987
2026-01-15 00:00:00+00:00,47000.92358486773
2026-01-15 01:00:00+00:00,46317.90171180454
2026-01-15 02:00:00+00:00,46597.95708371332
2026-01-15 03:00:00+00:00,46366.53888417948
2026-01-15 04:00:00+00:00,46312.557232548585
2026-01-15 05:00:00+00:00,45966.963938813584
2026-01-15 06:00:00+00:00,46410.52788452584
2026-01-15 07:00:00+00:00,46434.609658260066
2026-01-15 08:00:00+00:00,45894.34259864347
2026-01-15 09:00:00+00:00,46325.218747566636
2026-01-15 10:00:00+00:00,46195.10066448418
2026-01-15 11:00:00+00:00,45938.61726798162
2026-01-15 12:00:00+00:00,45379.09812231028
2026-01-15 13:00:00+00:00,45567.5435733654
2026-01-15 14:00:00+00:00,45326.62920632002
2026-01-15 15:00:00+00:00,45141.99629448103
2026-01-15 16:00:00+00:00,44924.33914470576
2026-01-15 17:00:00+00:00,44762.56909632374
2026-01-15 18:00:00+00:00,44304.17069270194
2026-01-15 19:00:00+00:00,44196.43043964064
2026-01-15 20:00:00+00:00,44080.26383163257
2026-01-15 21:00:00+00:00,44224.525275583845
2026-01-15 22:00:00+00:00,43841.671340043096
2026-01-15 23:00:00+00:00,43667.403684182296
2026-01-16 00:00:00+00:00,43893.91651813829
2026-01-16 01:00:00+00:00,43757.04247832549
2026-01-16 02:00:00+00:00,43056.92237822091
2026-01-16 03:00:00+00:00,42905.04583961769
2026-01-16 04:00:00+00:00,42461.23010207114
2026-01-16 05:00:00+00:00,42371.029300782946
2026-01-16 06:00:00+00:00,41707.68117298338
2026-01-16 07:00:00+00:00,41340.062956857124
2026-01-16 08:00:00+00:00,41675.37978508034
2026-01-16 09:00:00+00:00,41494.29838289245
2026-01-16 10:00:00+00:00,41206.69267683571
2026-01-16 11:00:00+00:00,40801.58101540611
2026-01-16 12:00:00+00:00,41104.09529610213
2026-01-16 13:00:00+00:00,40260.89948337864
2026-01-16 14:00:00+00:00,40990.35607967421
