timestamp,demand_mw,temperature_c,relative_humidity_pct,wind_speed_mps,carbon_intensity_gco2_per_kwh
2026-01-12 23:00:00+00:00,40764.23029729266,3.4,45.0,16.1,381.17841713450315
2026-01-13 00:00:00+00:00,41710.46483022065,3.1,44.0,16.4,372.1759225503371
2026-01-13 01:00:00+00:00,41318.59761896781,2.2,47.0,13.1,431.5044505212831
2026-01-13 02:00:00+00:00,41777.34612029182,1.7,48.0,13.1,441.01960869361
2026-01-13 03:00:00+00:00,42126.98133486738,1.2,48.0,10.4,473.22838973716205
2026-01-13 04:00:00+00:00,42542.46330705116,0.5,53.0,10.2,476.5090767398754
2026-01-13 05:00:00+00:00,41931.654765097206,0.0,59.0,9.5,441.1780084200992
2026-01-13 06:00:00+00:00,42976.971514724544,-0.4,56.0,11.2,455.537444143753
2026-01-13 07:00:00+00:00,42196.585395225025,-0.1,56.0,10.5,445.10284054074975
2026-01-13 08:00:00+00:00,43381.90135496745,0.0,55.0,10.3,475.4900360933026
2026-01-13 09:00:00+00:00,42855.709185926295,-0.3,59.0,9.7,487.33672219727583
2026-01-13 10:00:00+00:00,42827.6337675326,-0.3,56.0,10.9,472.23743469544326
2026-01-13 11:00:00+00:00,44082.12688131499,-0.6,56.0,9.2,495.3643122411581
2026-01-13 12:00:00+00:00,44151.83672767686,-1.3,58.0,9.2,483.61049354277515
2026-01-13 13:00:00+00:00,43559.15165781097,-0.1,58.0,10.2,500.34221814909733
2026-01-13 14:00:00+00:00,44351.1646717875,2.3,55.0,9.6,474.8848515406872
2026-01-13 15:00:00+00:00,44286.958712981,4.2,49.0,13.4,493.4840421623017
2026-01-13 16:00:00+00:00,44736.57994145792,5.5,45.0,13.8,494.91499583493646
2026-01-13 17:00:00+00:00,44535.88412827572,6.7,43.0,13.4,500.00383934382614
2026-01-13 18:00:00+00:00,44583.07396275399,7.9,41.0,13.4,495.45716970722907
2026-01-13 19:00:00+00:00,44613.56436866604,8.5,43.0,14.8,502.80030210303886
2026-01-13 20:00:00+00:00,44887.79479275613,7.9,46.0,15.0,500.8449801520397
2026-01-13 21:00:00+00:00,45414.273343756,7.2,54.0,15.0,481.7392791228148
2026-01-13 22:00:00+00:00,45744.28073119659,6.3,55.0,15.5,477.4818302961212
2026-01-13 23:00:00+00:00,45282.05810086056,6.4,47.0,17.1,496.59252554712765
2026-01-14 00:00:00+00:00,45114.13647314462,6.5,42.0,18.8,467.5325612660083
2026-01-14 01:00:00+00:00,45593.31190023149,5.9,50.0,19.8,502.92642941664343
2026-01-14 02:00:00+00:00,45795.95300408742,5.6,59.0,15.6,513.6083324881785
2026-01-14 03:00:00+00:00,46559.20987827934,6.0,62.0,11.5,492.51244416993666
2026-01-14 04:00:00+00:00,46184.72602276562,6.0,60.0,9.3,456.69247981822156
2026-01-14 05:00:00+00:00,46719.33681544195,6.2,57.0,12.0,518.2341883837365
2026-01-14 06:00:00+00:00,46631.790598443855,6.3,59.0,9.9,480.8988682201446
2026-01-14 07:00:00+00:00,46170.596096219575,6.0,60.0,6.6,449.03053409650374
2026-01-14 08:00:00+00:00,46930.27799975497,5.5,53.0,6.5,433.13085357073
2026-01-14 09:00:00+00:00,46812.440784590195,5.8,44.0,8.0,440.345708252379
2026-01-14 10:00:00+00:00,46820.8743937534,4.8,52.0,7.6,427.42917770397435
2026-01-14 11:00:00+00:00,46861.60091756307,5.5,48.0,8.2,458.317090669106
2026-01-14 12:00:00+00:00,47369.67386741936,5.7,46.0,10.2,425.69505829213165
2026-01-14 13:00:00+00:00,47153.62543288175,6.2,54.0,4.8,469.57388153777737
2026-01-14 14:00:00+00:00,46747.79484242435,6.6,50.0,6.1,408.2264278077707
2026-01-14 15:00:00+00:00,46603.56514422506,8.4,41.0,7.4,426.1395426494366
2026-01-14 16:00:00+00:00,47266.49465966785,9.2,41.0,9.1,403.24128429588853
2026-01-14 17:00:00+00:00,46803.779630770616,10.0,40.0,7.2,429.1560937062419
2026-01-14 18:00:00+00:00,46732.83678168473,9.9,42.0,5.8,385.27526553282644
2026-01-14 19:00:00+00:00,46768.44673718957,9.9,50.0,5.9,414.3740307919144
2026-01-14 20:00:00+00:00,46746.493429140995,9.9,51.0,4.5,377.8516483917732
2026-01-14 21:00:00+00:00,47215.707185821775,9.3,58.0,9.5,366.0934789307539
2026-01-14 22:00:00+00:00,46387.81244357921,8.4,60.0,7.2,341.13337802792194
2026-01-14 23:00:00+00:00,46703.76877964987,7.4,64.0,10.4,366.1727603344898
2026-01-15 00:00:00+00:00,47000.92358486773,7.7,62.0,6.0,364.0219922706886
2026-01-15 01:00:00+00:00,46317.90171180454,6.9,77.0,4.3,335.73636805645685
2026-01-15 02:00:00+00:00,46597.95708371332,6.6,71.0,5.4,333.93346082082417
2026-01-15 03:00:00+00:00,46366.53888417948,6.9,76.0,5.6,337.93173209871026
2026-01-15 04:00:00+00:00,46312.557232548585,6.8,80.0,8.0,333.38903039375737
2026-01-15 05:00:00+00:00,45966.963938813584,6.2,77.0,10.2,326.6555925938237
2026-01-15 06:00:00+00:00,46410.52788452584,6.6,69.0,12.4,296.8124255187357
