timestamp,forecast_mw
2026-01-19 23:00:00+00:00,40232.92581504793
2026-01-20 00:00:00+00:00,39531.72798795698
2026-01-20 01:00:00+00:00,38991.45960386077
2026-01-20 02:00:00+00:00,38654.74531903959
2026-01-20 03:00:00+00:00,38464.97284397934
2026-01-20 04:00:00+00:00,38366.34027556467
2026-01-20 05:00:00+00:00,38317.457747770386
2026-01-20 06:00:00+00:00,38293.84456429817
2026-01-20 07:00:00+00:00,38282.62427675791
2026-01-20 08:00:00+00:00,38277.37117315878
2026-01-20 09:00:00+00:00,38274.964280055574
2026-01-20 10:00:00+00:00,38273.90162739795
2026-01-20 11:00:00+00:00,38273.464837723266
2026-01-20 12:00:00+00:00,38273.31115246736
2026-01-20 13:00:00+00:00,38273.281325394666
2026-01-20 14:00:00+00:00,38273.30028327985
2026-01-20 15:00:00+00:00,38273.33440747319
2026-01-20 16:00:00+00:00,38273.371817699954
2026-01-20 17:00:00+00:00,38273.40619466509
2026-01-20 18:00:00+00:00,38273.43475787877
2026-01-20 19:00:00+00:00,38273.4577601128
2026-01-20 20:00:00+00:00,38273.4782346288
2026-01-20 21:00:00+00:00,38273.49618142677
2026-01-20 22:00:00+00:00,38273.51210605033
